"Date","CT_site","effort_class"
2018-10-05,"MN02",NA
2018-10-05,"MN04",NA
2018-10-05,"MN05",NA
2018-10-05,"MN06",NA
2018-10-05,"MN07",NA
2018-10-05,"MN08",NA
2018-10-05,"MN09",NA
2018-10-05,"MN10",NA
2018-10-05,"MN11",NA
2018-10-05,"MN12",NA
2018-10-05,"MN13",NA
2018-10-05,"MN14",NA
2018-10-05,"MN15",NA
2018-10-05,"MN16",NA
2018-10-05,"MN17",NA
2018-10-05,"MN18",NA
2018-10-05,"MN19",NA
2018-10-05,"MN20",NA
2018-10-05,"MN21",NA
2018-10-05,"MN22",NA
2018-10-05,"MN23",NA
2018-10-05,"MN24",NA
2018-10-05,"MN25",NA
2018-10-05,"MN26",NA
2018-10-05,"MN27",NA
2018-10-05,"MN29",NA
2018-10-05,"MN30",NA
2018-10-05,"MN31",NA
2018-10-05,"MN32",NA
2018-10-05,"MN33",NA
2018-10-05,"MN34",NA
2018-10-05,"MN35",NA
2018-10-05,"MN37",NA
2018-10-05,"MN38",NA
2018-10-05,"MN39",NA
2018-10-05,"MN40",NA
2018-10-05,"MN41",NA
2018-10-05,"MN42",NA
2018-10-05,"MN43",NA
2018-10-05,"MN44",NA
2018-10-05,"MN45",NA
2018-10-05,"MN46",NA
2018-10-05,"MN47",NA
2018-10-05,"MN48",NA
2018-10-05,"MN49",NA
2018-10-05,"MN50",NA
2018-10-05,"MT01",NA
2018-10-05,"MT02",NA
2018-10-05,"MT03",NA
2018-10-05,"MT04",NA
2018-10-05,"MT05",NA
2018-10-05,"MT07",NA
2018-10-05,"MT08",NA
2018-10-05,"MT09",NA
2018-10-05,"MT10",NA
2018-10-05,"MT11",NA
2018-10-05,"MT12",NA
2018-10-05,"MT13",NA
2018-10-05,"MT14",NA
2018-10-05,"MT15",NA
2018-10-05,"MT16",NA
2018-10-05,"MT17",NA
2018-10-05,"MT18",NA
2018-10-05,"MT19",NA
2018-10-05,"MT20",NA
2018-10-05,"MT21",NA
2018-10-05,"MT22",NA
2018-10-05,"MT23",NA
2018-10-05,"MT24",NA
2018-10-05,"MT25",NA
2018-10-05,"MT26",NA
2018-10-05,"MT27",NA
2018-10-05,"MT28",NA
2018-10-05,"MT29",NA
2018-10-05,"MT30",NA
2018-10-05,"MT31",NA
2018-10-05,"MT32",NA
2018-10-05,"MT33",NA
2018-10-05,"MT34",NA
2018-10-05,"MT35",NA
2018-10-05,"MT36",NA
2018-10-05,"MT37",NA
2018-10-05,"MT38",NA
2018-10-05,"MT39",NA
2018-10-05,"MT40",NA
2018-10-05,"MT41",NA
2018-10-05,"MT42",NA
2018-10-05,"MT43",NA
2018-10-05,"MT44",NA
2018-10-05,"MT45",NA
2018-10-05,"MT46",NA
2018-10-05,"MT47",NA
2018-10-05,"MT48",NA
2018-10-05,"MT49",NA
2018-10-05,"OMC01",NA
2018-10-05,"OMC02",NA
2018-10-05,"OMC03",NA
2018-10-05,"OMC04",NA
2018-10-05,"OMC05",NA
2018-10-05,"OMC06",NA
2018-10-05,"OMC07",NA
2018-10-05,"OMC09",NA
2018-10-05,"OMC10",NA
2018-10-05,"OMC11",NA
2018-10-05,"OMC12",NA
2018-10-05,"OMC13",NA
2018-10-05,"OMC15",NA
2018-10-05,"OMC16",NA
2018-10-05,"OMC17",NA
2018-10-05,"OMC18",NA
2018-10-05,"OMC19",NA
2018-10-05,"OMC21",NA
2018-10-05,"OMC22",NA
2018-10-05,"OMC23",NA
2018-10-05,"OMC24",NA
2018-10-05,"OMC25",NA
2018-10-05,"OMC26",NA
2018-10-05,"OMC27",NA
2018-10-05,"OMC28",NA
2018-10-05,"OMC29",NA
2018-10-05,"OMC30",NA
2018-10-05,"OMC31",NA
2018-10-05,"OMC32",NA
2018-10-05,"OMC33",NA
2018-10-05,"OMC34",NA
2018-10-05,"OMC36",NA
2018-10-05,"OMC37",NA
2018-10-05,"OMC38",NA
2018-10-05,"NB01",0
2018-10-05,"NB02",0
2018-10-05,"NB03",0
2018-10-05,"NB04",0
2018-10-05,"NB05",1
2018-10-05,"NB06",0
2018-10-05,"NB07",0
2018-10-05,"NB08",0
2018-10-05,"NB09",0
2018-10-05,"NB10",0
2018-10-05,"NB11",0
2018-10-05,"NB12",0
2018-10-05,"NB14",0
2018-10-05,"NB15",0
2018-10-05,"NB16",0
2018-10-05,"NB17",0
2018-10-05,"NB18",0
2018-10-05,"NB19",1
2018-10-05,"NB20",1
2018-10-05,"NB21",0
2018-10-05,"NB22",0
2018-10-05,"NB23",0
2018-10-05,"NB24",0
2018-10-05,"NB25",0
2018-10-05,"NB26",0
2018-10-05,"NB27",0
2018-10-05,"NB28",0
2018-10-05,"NB29",0
2018-10-05,"NB30",0
2018-10-05,"NB31",0
2018-10-05,"NB32",0
2018-10-05,"NB33",0
2018-10-05,"NB34",0
2018-10-05,"NB35",1
2018-10-05,"NB36",0
2018-10-05,"NB37",1
2018-10-05,"NB38",1
2018-10-05,"NB39",0
2018-10-05,"NB40",0
2018-10-05,"NB41",0
2018-10-05,"NB42",0
2018-10-05,"NB43",0
2018-10-05,"NB44",1
2018-10-05,"NB45",0
2018-10-05,"NB46",1
2018-10-05,"NB47",1
2018-10-05,"NB48",0
2018-10-05,"NB49",0
2018-10-05,"NB50",0
2018-10-06,"MN02",NA
2018-10-06,"MN04",NA
2018-10-06,"MN05",NA
2018-10-06,"MN06",NA
2018-10-06,"MN07",NA
2018-10-06,"MN08",NA
2018-10-06,"MN09",NA
2018-10-06,"MN10",NA
2018-10-06,"MN11",NA
2018-10-06,"MN12",NA
2018-10-06,"MN13",NA
2018-10-06,"MN14",NA
2018-10-06,"MN15",NA
2018-10-06,"MN16",NA
2018-10-06,"MN17",NA
2018-10-06,"MN18",NA
2018-10-06,"MN19",NA
2018-10-06,"MN20",NA
2018-10-06,"MN21",NA
2018-10-06,"MN22",NA
2018-10-06,"MN23",NA
2018-10-06,"MN24",NA
2018-10-06,"MN25",NA
2018-10-06,"MN26",NA
2018-10-06,"MN27",NA
