Width,Height,Species
1.4,0.2,polygonia c-album
1.3,0.2,polygonia c-album
1.5,0.2,polygonia c-album
1.7,0.4,polygonia c-album
1.4,0.3,polygonia c-album
1.5,0.1,polygonia c-album
1.6,0.2,polygonia c-album
1.4,0.1,polygonia c-album
1.1,0.1,polygonia c-album
1.2,0.2,polygonia c-album
1.5,0.4,polygonia c-album
1.3,0.4,polygonia c-album
1.7,0.3,polygonia c-album
1.5,0.3,polygonia c-album
1.7,0.2,polygonia c-album
1.0,0.2,polygonia c-album
1.7,0.5,polygonia c-album
1.9,0.2,polygonia c-album
1.6,0.4,polygonia c-album
1.3,0.3,polygonia c-album
1.6,0.6,polygonia c-album
1.9,0.4,polygonia c-album
4.7,1.4,maniola jurtina
4.5,1.5,maniola jurtina
4.9,1.5,maniola jurtina
4.0,1.3,maniola jurtina
4.6,1.5,maniola jurtina
4.5,1.3,maniola jurtina
4.7,1.6,maniola jurtina
3.3,1.0,maniola jurtina
4.6,1.3,maniola jurtina
3.9,1.4,maniola jurtina
3.5,1.0,maniola jurtina
4.2,1.5,maniola jurtina
4.0,1.0,maniola jurtina
3.6,1.3,maniola jurtina
4.4,1.4,maniola jurtina
4.1,1.0,maniola jurtina
3.9,1.1,maniola jurtina
4.8,1.8,maniola jurtina
4.7,1.2,maniola jurtina
4.3,1.3,maniola jurtina
4.8,1.4,maniola jurtina
5.0,1.7,maniola jurtina
3.8,1.1,maniola jurtina
3.7,1.0,maniola jurtina
3.9,1.2,maniola jurtina
5.1,1.6,maniola jurtina
4.5,1.6,maniola jurtina
4.7,1.5,maniola jurtina
4.4,1.3,maniola jurtina
4.1,1.3,maniola jurtina
4.4,1.2,maniola jurtina
4.6,1.4,maniola jurtina
4.0,1.2,maniola jurtina
4.2,1.3,maniola jurtina
4.2,1.2,maniola jurtina
3.0,1.1,maniola jurtina
6.0,2.5,pyronia tithonus
5.1,1.9,pyronia tithonus
5.9,2.1,pyronia tithonus
5.6,1.8,pyronia tithonus
5.8,2.2,pyronia tithonus
6.6,2.1,pyronia tithonus
4.5,1.7,pyronia tithonus
6.3,1.8,pyronia tithonus
5.8,1.8,pyronia tithonus
6.1,2.5,pyronia tithonus
5.1,2.0,pyronia tithonus
5.3,1.9,pyronia tithonus
5.5,2.1,pyronia tithonus
5.0,2.0,pyronia tithonus
5.1,2.4,pyronia tithonus
5.3,2.3,pyronia tithonus
5.5,1.8,pyronia tithonus
6.7,2.2,pyronia tithonus
6.9,2.3,pyronia tithonus
5.0,1.5,pyronia tithonus
5.7,2.3,pyronia tithonus
4.9,2.0,pyronia tithonus
6.7,2.0,pyronia tithonus
4.9,1.8,pyronia tithonus
5.7,2.1,pyronia tithonus
6.0,1.8,pyronia tithonus
5.6,2.1,pyronia tithonus
5.8,1.6,pyronia tithonus
6.1,1.9,pyronia tithonus
6.4,2.0,pyronia tithonus
5.6,2.2,pyronia tithonus
5.1,1.5,pyronia tithonus
5.6,1.4,pyronia tithonus
6.1,2.3,pyronia tithonus
5.6,2.4,pyronia tithonus
5.4,2.1,pyronia tithonus
5.1,2.3,pyronia tithonus
5.9,2.3,pyronia tithonus
5.7,2.5,pyronia tithonus
5.2,2.3,pyronia tithonus
5.0,1.9,pyronia tithonus
5.2,2.0,pyronia tithonus
5.4,2.3,pyronia tithonus
5.1,1.8,pyronia tithonus
