"CT_site","Conservancy","X","Y","closed_lc","agri_lc","distance_to_water","popdens_log","n_days_sampled","livestock_pressure"
"OMC01","OMC",745842.701676706,9848502.4556687,0.4337899543379,0,0.785175109863281,2.94865320390067,12,0.25
"OMC02","OMC",747804.333443009,9848569.65140899,0.82648401826484,0,0.0948683319091797,2.89815236138683,33,0
"OMC03","OMC",741816.179077824,9850499.40484055,0.186363636363636,0,0.52478564453125,2.69695469190572,39,0.0769230769230769
"OMC04","OMC",743821.435760146,9850506.3648227,0.502347417840376,0,1.00846417236328,2.84007084450862,36,0.0555555555555556
"OMC05","OMC",747796.681431926,9850507.21480452,0.804545454545455,0,0.474341644287109,2.88049549239389,27,0
"OMC06","OMC",745874.472083367,9850504.9586927,0.908675799086758,0,0.134164077758789,2.82008921266891,14,0
"OMC07","OMC",749809.303535019,9850502.15847705,0.221719457013575,0,0.782304260253906,2.75523942517489,38,0.157894736842105
"OMC09","OMC",741883.069439106,9852571.20719204,0.313636363636364,0,0.540832702636719,2.68519836249171,38,0
"OMC10","OMC",743843.94680799,9852486.58220511,0.258064516129032,0,0.807774719238281,2.72787428040231,28,0
"OMC11","OMC",745813.946319756,9852429.43172425,0.857798165137615,0,0.737902404785156,2.83486541932879,16,0
"OMC12","OMC",747849.16773822,9852514.92195594,0.977064220183486,0,0.361247833251953,2.74299977945014,23,0.739130434782609
"OMC13","OMC",749758.459331342,9852500.49199607,0.817351598173516,0,1.65245275878906,2.73842416491967,18,0.0555555555555556
"OMC15","OMC",741829.265650773,9854500.65759697,0.195454545454545,0,0.58249462890625,2.74302664952802,30,0.0333333333333333
"OMC16","OMC",744092.608768794,9854490.22389858,0.493150684931507,0,0.0948683319091797,2.83726882583232,38,0
"OMC17","OMC",745926.575101618,9854536.00700455,0.447004608294931,0,1.4873466796875,2.44766697435459,16,0
"OMC18","OMC",747825.895311153,9854505.24115105,0.945205479452055,0,1.28405603027344,3.54332330944409,39,0.205128205128205
"OMC19","OMC",749787.781947888,9854507.43129711,0.230414746543779,0,0.700357055664062,2.50671769241345,39,0.256410256410256
"OMC21","OMC",741837.258719476,9856453.30371314,0,0,1.68908264160156,2.6794306705896,38,0.736842105263158
"OMC22","OMC",743779.429321337,9856542.02311172,0.187214611872146,0,1.04785498046875,2.59812281201464,39,0.282051282051282
"OMC23","OMC",745789.201127438,9856532.49006703,0.375565610859729,0,0.391152130126953,2.6537795077626,23,0.434782608695652
"OMC24","OMC",747774.813142152,9856486.54971537,0.0138888888888889,0,1.03619494628906,3.67044962388128,39,0
"OMC25","OMC",749804.388598344,9856478.51292634,0.287671232876712,0,1.04785498046875,2.95057779818351,39,0.461538461538462
"OMC26","OMC",751777.331728777,9856398.52107517,0.0593607305936073,0,0.474341644287109,2.93060964232661,26,0.769230769230769
"OMC27","OMC",743738.270936863,9858590.75929679,0,0,0.902496520996094,2.66567396831902,38,0.157894736842105
"OMC28","OMC",745829.803448417,9858456.86963798,0.616822429906542,0,0.456946380615234,2.86921882450829,39,0.461538461538462
"OMC29","OMC",747827.849347484,9858521.54465731,0.836363636363636,0,0.192093734741211,2.85569498118139,19,0.0526315789473684
"OMC30","OMC",749843.941092756,9858707.19690547,0.0414746543778802,0,0.930483764648438,3.20197785312232,39,0.538461538461538
"OMC31","OMC",751782.446833619,9858511.43758754,0.0454545454545455,0,0.752396179199219,3.19226019517902,39,0.205128205128205
"OMC32","OMC",745927.825592578,9860523.15756907,0.0504587155963303,0,0.5770615234375,3.06319902274343,23,0.173913043478261
"OMC33","OMC",747819.47787653,9860489.32635751,0.269406392694064,0,0.371079498291016,3.2007363213234,28,0
"OMC34","OMC",749707.907814634,9860521.79610696,0.1,0,1.55682373046875,3.24644959624886,39,0.358974358974359
"OMC36","OMC",745890.316019665,9862492.24946107,0.00454545454545455,0,1.86386694335938,3.18813826661489,40,0.2
"OMC37","OMC",747643.745357336,9862233.42715356,0.0590909090909091,0,0.764852905273438,3.36755392008167,18,0.611111111111111
"OMC38","OMC",749815.739940186,9862517.68464424,0.170506912442396,0,0.85802099609375,3.4789181272007,39,0.0256410256410256
"NB49","Naboisho",766677.616025007,9854102.02315768,0.142857142857143,0,0.3,2.33341041673798,39,0.58974358974359
"NB47","Naboisho",768630.254493402,9852176.43108222,0.596330275229358,0,0.108166542053223,2.05903697777896,44,0.159090909090909
"NB46","Naboisho",766639.76149157,9852187.5026265,0.383561643835616,0,0.268328155517578,2.45393709571837,29,0.103448275862069
"NB44","Naboisho",766663.157050146,9850189.62027783,0.831050228310502,0,0.5939697265625,2.68919085920026,29,0.172413793103448
