"X","Y","habitatfinal"
710474.999999999,9872125,1
710624.999999999,9872125,1
710774.999999999,9872125,1
710924.999999999,9872125,1
711074.999999999,9872125,1
711224.999999999,9872125,1
711374.999999999,9872125,1
711524.999999999,9872125,1
711674.999999999,9872125,1
711824.999999999,9872125,1
711974.999999999,9872125,1
712124.999999999,9872125,1
712274.999999999,9872125,1
712424.999999999,9872125,1
712574.999999999,9872125,1
712724.999999999,9872125,1
712874.999999999,9872125,1
713024.999999999,9872125,1
713174.999999999,9872125,1
713324.999999999,9872125,1
713474.999999999,9872125,1
713624.999999999,9872125,1
713774.999999999,9872125,1
713924.999999999,9872125,1
714074.999999999,9872125,1
714224.999999999,9872125,1
714374.999999999,9872125,1
714524.999999999,9872125,1
714674.999999999,9872125,1
714824.999999999,9872125,1
714974.999999999,9872125,1
715124.999999999,9872125,1
715274.999999999,9872125,1
715424.999999999,9872125,1
715574.999999999,9872125,1
715724.999999999,9872125,1
715874.999999999,9872125,1
716024.999999999,9872125,1
716174.999999999,9872125,1
716324.999999999,9872125,1
716474.999999999,9872125,1
716624.999999999,9872125,1
716774.999999999,9872125,1
716924.999999999,9872125,1
717074.999999999,9872125,1
717224.999999999,9872125,1
717374.999999999,9872125,1
717524.999999999,9872125,1
717674.999999999,9872125,1
717824.999999999,9872125,1
717974.999999999,9872125,1
718124.999999999,9872125,1
718274.999999999,9872125,1
718424.999999999,9872125,1
718574.999999999,9872125,1
718724.999999999,9872125,1
718874.999999999,9872125,1
719024.999999999,9872125,1
719174.999999999,9872125,1
719324.999999999,9872125,1
719474.999999999,9872125,1
719624.999999999,9872125,1
719774.999999999,9872125,1
719924.999999999,9872125,1
720074.999999999,9872125,1
720224.999999999,9872125,1
720374.999999999,9872125,1
720524.999999999,9872125,1
720674.999999999,9872125,1
720824.999999999,9872125,1
720974.999999999,9872125,1
721124.999999999,9872125,1
721274.999999999,9872125,1
721424.999999999,9872125,1
721574.999999999,9872125,1
721724.999999999,9872125,1
721874.999999999,9872125,1
722024.999999999,9872125,1
722174.999999999,9872125,1
722324.999999999,9872125,1
722474.999999999,9872125,1
722624.999999999,9872125,1
722774.999999999,9872125,1
722924.999999999,9872125,1
723074.999999999,9872125,1
723224.999999999,9872125,1
723374.999999999,9872125,1
723524.999999999,9872125,1
