"CT_site","Latitude","Longitude","Conservancy"
"OMC01",-1.369617776,35.20940262,"OMC"
"OMC02",-1.368993882,35.22702245,"OMC"
"OMC03",-1.351597229,35.17321749,"OMC"
"OMC04",-1.351518012,35.19122999,"OMC"
"OMC05",-1.35147763,35.22693765,"OMC"
"OMC06",-1.351513903,35.20967152,"OMC"
"OMC07",-1.351506585,35.24501575,"OMC"
"OMC09",-1.332866125,35.1738018,"OMC"
"OMC10",-1.33361547,35.19141625,"OMC"
"OMC11",-1.334116213,35.20911222,"OMC"
"OMC12",-1.333326755,35.22739267,"OMC"
"OMC13",-1.333441524,35.24454257,"OMC"
"OMC15",-1.315422946,35.1733033,"OMC"
"OMC16",-1.315499363,35.19363393,"OMC"
"OMC17",-1.315070826,35.21010702,"OMC"
"OMC18",-1.315333694,35.22716756,"OMC"
"OMC19",-1.315297998,35.24478962,"OMC"
"OMC21",-1.297769567,35.17335992,"OMC"
"OMC22",-1.296952337,35.19080473,"OMC"
"OMC23",-1.297022723,35.20885731,"OMC"
"OMC24",-1.297422306,35.22669295,"OMC"
"OMC25",-1.297478741,35.24492296,"OMC"
"OMC26",-1.298185986,35.26264465,"OMC"
"OMC27",-1.278430829,35.19041921,"OMC"
"OMC28",-1.279625053,35.20920702,"OMC"
"OMC29",-1.279024741,35.22715335,"OMC"
"OMC30",-1.277330507,35.24526059,"OMC"
"OMC31",-1.279084828,35.26267373,"OMC"
"OMC32",-1.260944026,35.2100716,"OMC"
"OMC33",-1.261235294,35.22706292,"OMC"
"OMC34",-1.260927089,35.24402459,"OMC"
"OMC36",-1.243142744,35.20971977,"OMC"
"OMC37",-1.245469284,35.22547116,"OMC"
"OMC38",-1.242882858,35.24497778,"OMC"
"NB49",-1.318820583,35.39649213,"Naboisho"
"NB47",-1.336209296,35.41404594,"Naboisho"
"NB46",-1.33612684,35.39616882,"Naboisho"
"NB44",-1.354186088,35.39639657,"Naboisho"
"NB37",-1.371462919,35.37855995,"Naboisho"
"NB38",-1.372311234,35.39647517,"Naboisho"
"NB20",-1.408664249,35.37835964,"Naboisho"
"NB19",-1.408768245,35.36037219,"Naboisho"
"NB12",-1.426781543,35.3785234,"Naboisho"
"NB11",-1.426859228,35.3604423,"Naboisho"
"NB28",-1.390767427,35.36083989,"Naboisho"
"NB35",-1.372525069,35.34257094,"Naboisho"
"NB34",-1.372565508,35.32461589,"Naboisho"
"NB26",-1.390883864,35.32466743,"Naboisho"
"NB27",-1.390785783,35.3423389,"Naboisho"
"NB18",-1.408674255,35.34234661,"Naboisho"
"NB17",-1.408783764,35.32453723,"Naboisho"
"NB09",-1.426939541,35.32466295,"Naboisho"
"NB10",-1.42677139,35.34229687,"Naboisho"
"NB05",-1.444783816,35.34247126,"Naboisho"
"NB04",-1.444919116,35.32440146,"Naboisho"
"NB01",-1.462809364,35.30668508,"Naboisho"
"NB02",-1.444406379,35.28858137,"Naboisho"
"NB06",-1.426880638,35.27075533,"Naboisho"
"NB13",-1.408784744,35.25268274,"Naboisho"
"NB30",-1.372731628,35.25266118,"Naboisho"
"NB21",-1.390888974,35.23491111,"Naboisho"
"NB22",-1.390801213,35.25249327,"Naboisho"
"NB50",-1.318183709,35.41422671,"Naboisho"
"NB43",-1.354286182,35.37835642,"Naboisho"
"NB42",-1.354418036,35.36025466,"Naboisho"
